recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
15	am_devices_mspi_jbd4010_read_dieId	exact retained function string	0x0059308C	0x005931C0	308	1c31882245dae2fa45cf379df01fb81d5b5c8fc0f1dbb5444ca6fb88b225b673	exterior BL at 0x0057E5CC	reads command 81 through the alternate template and returns/logs twelve die-ID bytes
16	jbd4010_clear_display	historical semantic label	0x005931C0	0x005931FA	58	855f4c6b832c57425a5aa0c43485cba2d1aff8bfac6a981c7ed7a37c78509d0d	BL at 0x005926D6 and 0x0059282C plus external table entry 0x0070B040	invokes the optional clear callback then submits an asynchronous 640x480 refresh
17	jbd4010_power_off_sequence	historical semantic label	0x00593200	0x00593288	136	c6bf824363ffff362ae0a571e41a4d6e381679282365e4f3f2281340675e280c	BL at 0x005926C0 and 0x0059358C plus external table entry 0x0070B034	product-revision GPIO/regulator/MSPI shutdown sequence
18	jbd4010_power_on_sequence	historical semantic label	0x0059328C	0x005932F8	108	7f87a7e20c1531babb410639734fa400b6c8ff958422ab738b2c301487c4f539	BL at 0x005926E0 and 0x0059353E plus external table entry 0x0070B038	product-revision MSPI/regulator/GPIO startup sequence
19	jbd4010_set_current_6bit	descriptive high confidence	0x00593334	0x00593398	100	248b8dd1b8f234c2fe5e6622426aea8f4533a1ceb78ad2b63ed28070a3f4467e	external ULED operations table entry at 0x0070B044	masks the input to six bits and programs it through command 46
20	jdb4010_status_check	exact retained function string spelling	0x00593398	0x00593524	396	0a879762b074db497ed21c913c2a82c35804fb035411d83ae134348146eb3175	BL at 0x005936A8	validates status registers 05 and 35 with retained diagnostics
21	jdb4010_status_recovery	exact retained function string spelling	0x00593528	0x0059364A	290	fda1bcae9b51134048c13c773924908a57886d94282672f79eb9f9aa24c7a9a2	BL at 0x005936EA	power-cycles, reconfigures, redraws the frame, and reapplies brightness
22	jbd4010_standby_mode	historical semantic label	0x00593660	0x005936A4	68	8611d7ddd8c7087afc60332feef272c2cadb9a7b47415ea31d847d5b1f4d169d	BL at 0x0059372E	issues commands 71/73/97 with delays
23	am_devices_jbd4010_status_check_and_recovery	exact retained function string	0x005936A4	0x00593738	148	fbf0f006f691ce2fd34ff2a54ac55d1526003b488614f2921121dc1e0882863c	external ULED operations table entry at 0x0070B054	checks status, conditionally recovers, always enters standby, and returns a Boolean status
24	am_devices_jbd4010_set_mode	exact retained function string	0x00593750	0x005938CA	378	12c8bbacf8358115b3a2e4f7f55325724890f6bb8a894fe542b76480b9e1ab20	external ULED operations table entry at 0x0070B058	accepts modes 71/72/73/74, executes the required latch/redraw sequence, and rejects all others
